eventno	jetmultiplicity	axion_Eta	axion_Phi	axion_pT	axion_Px	axion_Py	axion_Pz	axion_E	Z_Eta	Z_Phi	Z_pT	Z_Px	Z_Py	Z_Pz	Z_E	highb_Eta	highb_Phi	highb_pT	highb_Px	highb_Py	highb_Pz	highb_E	lowb_Eta	lowb_Phi	lowb_pT	lowb_Px	lowb_Py	lowb_Pz	lowb_E	genphoton_Eta	genphoton_Phi	genphoton_pT	genphoton_Px	genphoton_Py	genphoton_Pz	genphoton_E	jet1_Eta	jet1_Phi	jet1_pT	jet1_Px	jet1_Py	jet1_Pz	jet1_E	jet2_Eta	jet2_Phi	jet2_pT	jet2_Px	jet2_Py	jet2_Pz	jet2_E	jet3_Eta	jet3_Phi	jet3_pT	jet3_Px	jet3_Py	jet3_Pz	jet3_E	jet4_Eta	jet4_Phi	jet4_pT	jet4_Px	jet4_Py	jet4_Pz	jet4_E	isophoton_Eta	isophoton_Phi	isophoton_pT	isophoton_Px	isophoton_Py	isophoton_Pz	isophoton_E	jet1_btag	jet2_btag	jet3_btag	jet4_btag	invmass_2j1p	delta_eta_jet1_jet2	delta_phi_jet1_jet2	deltaR_jet1_jet2
177681	2	1.4351	-2.3457	33.8458	-23.68	-24.1825	67.0478	87.5538	2.23355	-1.06661	18.2272	8.8054	-15.9592	84.0797	125.144	1.09714	-2.13799	42.6817	-22.9315	-35.9983	56.8045	71.208	0.78276	1.63406	11.8394	-0.748489	11.8158	10.2432	16.3458	0.48859	0.247932	33.5101	32.4854	8.22336	17.0319	37.59	1.11726	-2.12348	45.1344	-23.6942	-38.4148	61.5925	76.3594	0.695679	1.63573	24.9593	-1.61961	24.9067	18.7985	31.2466	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.493502	0.247972	34.6688	33.6083	8.50905	17.8121	38.9768	1	1	0	0	108.39224760547867	0.4215809999999999	2.5239753071795867	2.5589415567404603
177894	2	-2.00794	-2.88316	44.0538	-42.5909	-11.2584	-161.098	172.97	-6.31623	2.38744	0.835154	-0.608702	0.571807	-231.121	255.467	-2.01618	-2.24836	31.8028	-19.937	-24.7776	-117.296	121.621	-1.28055	2.60355	26.3812	-22.6538	13.5192	-43.8023	51.3488	-1.25184	0.274669	43.6172	41.9822	11.8302	-70.023	82.4965	-2.02989	-2.22545	31.3757	-19.1041	-24.8891	-117.375	121.497	-1.30936	2.64045	26.2012	-22.9794	12.5877	-44.9848	52.059	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.24297	0.27716	46.5095	44.7345	12.7262	-73.8887	87.3079	1	1	0	0	110.58667331518747	-0.7205299999999999	1.4172853071795863	1.5899248796239192
178125	2	0.474816	2.94939	10.9924	-10.79	2.09978	5.41769	46.6265	-0.999929	1.59115	36.8702	-0.750461	36.8625	-43.3259	107.332	0.0998026	-2.15401	23.5079	-12.946	-19.622	2.35004	24.088	0.140075	1.47186	21.8285	2.15601	21.7218	3.06765	22.5385	-1.10686	1.28965	36.1834	10.0395	34.7628	-48.7436	60.7057	0.911118	-1.61236	33.9485	-1.41066	-33.9192	35.3917	49.0416	0.132956	-2.14343	25.1882	-13.6483	-21.17	3.35881	25.4112	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.10272	1.28163	34.3814	9.8039	32.9539	-46.0774	57.4909	1	1	0	0	129.7608164698585	0.778162	0.5310699999999999	0.9421101013915517
178851	2	-2.00912	0.549022	44.0248	37.5547	22.9745	-161.188	173.041	-3.11331	0.21635	16.9091	16.5149	3.62981	-189.813	213.492	-1.93046	-0.117683	32.6287	32.403	-3.83098	-110.083	114.913	-1.385	1.38092	27.296	5.15166	26.8055	-51.1049	58.1281	-0.882454	-2.39814	28.5813	-21.0398	-19.3447	-28.625	40.4509	-1.93175	-0.0370211	39.814	39.7867	-1.47362	-134.505	140.274	-1.37864	1.46068	28.0889	3.08671	27.9188	-52.2113	59.2875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.873926	-2.39112	27.8662	-20.3804	-19.0044	-27.5735	39.2024	1	1	0	0	102.60010162422597	-0.55311	-1.4977011	1.5965710936382413
179187	2	-2.85429	-2.76553	20.5623	-19.1254	-7.55167	-177.91	184.661	-3.48857	0.718968	24.7064	18.5912	16.2718	-404.057	415.167	-1.24121	-2.23605	20.7263	-12.7935	-16.3066	-32.859	39.1329	-3.29164	2.19695	10.8047	-6.33186	8.75491	-145.051	145.529	-2.32595	0.563363	44.6106	37.7166	23.8235	-226.147	230.505	-0.956127	-1.83231	43.1862	-11.1656	-41.7179	-47.8767	64.4766	-1.24337	-2.31366	27.0017	-18.264	-19.8876	-42.9172	50.7048	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.31604	0.565088	44.2374	37.3603	23.6887	-222.0	226.364	1	1	0	0	131.57756898202666	0.28724300000000014	0.48134999999999994	0.5605411345735476
179253	4	-1.27889	-1.26216	104.318	31.6878	-99.3884	-172.869	206.861	-1.19959	-0.962228	220.698	126.172	-181.076	-332.971	409.919	-1.37292	-1.31596	90.8225	22.8948	-87.8894	-167.726	190.796	-0.348211	-0.917971	14.4756	8.79294	-11.499	-5.14303	16.065	-1.06733	-0.712888	124.9	94.4838	-81.6872	-160.102	203.058	2.1444	2.29681	140.772	-93.4577	105.274	592.633	609.123	-1.37448	-1.29562	93.1046	25.298	-89.6017	-172.246	195.798	-1.60161	1.73354	75.0505	-12.1603	74.0588	-178.599	193.727	-2.63816	-2.66915	35.1223	-31.275	-15.9828	-244.381	246.892	-1.07549	-0.713187	122.883	92.9344	-80.3962	-159.152	201.072	1	1	0	0	969.0073383791787	3.5188800000000002	2.6907553071795864	4.429749493765433
179493	2	1.74212	3.11184	28.6586	-28.6459	0.852656	79.3025	95.5835	3.15987	3.04832	6.42867	-6.40073	0.598727	75.6177	118.133	1.11686	2.42641	31.7311	-23.9563	20.8078	43.2801	53.8714	1.32951	-1.80162	20.4988	-4.68961	-19.9551	36.0224	41.7121	-0.164887	-0.0114145	22.2466	22.2451	-0.253929	-3.68482	22.5497	1.35441	-1.69168	28.7722	-3.46951	-28.5622	52.0256	59.4517	1.10731	2.45576	28.2961	-21.8981	17.9204	38.1397	47.4901	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.159043	-0.0153457	23.1479	23.1451	-0.355205	-3.69705	23.4412	1	1	0	0	96.93861336571398	0.24709999999999988	2.1357453071795858	2.149992192343875
179631	2	1.52305	-1.99723	44.542	-18.4239	-40.553	97.283	116.072	2.93165	-2.07916	16.6297	-8.09448	-14.5268	155.532	180.702	1.07456	-1.45148	38.3486	4.56496	-38.076	49.609	62.879	1.47096	-3.03426	23.1219	-22.9888	-2.47706	47.674	53.1932	1.47895	1.19298	28.0011	10.3294	26.0262	58.2485	64.6293	1.11633	-1.58764	30.5318	-0.514394	-30.5275	41.6173	51.6158	1.45289	-3.04582	26.6525	-26.5304	-2.54865	53.8587	60.0926	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.46707	1.19122	28.5134	10.5651	26.4838	58.5365	65.1117	1	1	0	0	85.03210108484835	-0.33655999999999997	1.45818	1.4965164703403702
180467	2	1.33889	-0.277963	36.5777	35.1737	-10.0368	64.9744	87.0871	3.80336	-1.71244	3.69199	-0.521199	-3.65501	82.7544	127.473	0.920985	-1.14811	28.7107	11.7776	-26.1838	30.342	42.036	1.02763	0.604087	28.4272	23.3962	16.1469	34.6325	45.0511	0.472551	2.96467	36.2609	-35.6949	6.38182	17.78	40.3855	0.903845	0.537648	26.3413	22.625	13.4898	27.1852	37.8536	0.993182	-1.13276	23.6091	10.0142	-21.38	27.4977	36.2424	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.47216	2.95135	36.2059	-35.5527	6.84632	17.7372	40.3172	1	1	0	0	88.52192543390366	-0.089337	1.6704080000000001	1.6727952612417936
180550	3	1.86759	-1.56084	113.804	1.13258	-113.799	359.518	379.767	1.7923	-1.37742	133.589	25.6728	-131.099	389.858	422.452	1.93212	-1.54302	103.343	2.87014	-103.303	349.262	364.261	0.855718	-1.73486	10.6387	-1.73756	-10.4959	10.2562	15.5068	0.888751	-0.61405	30.0252	24.5403	-17.3	30.3393	42.6848	1.91767	-1.52142	104.208	5.14331	-104.081	346.918	362.231	0.731467	2.09989	92.7087	-46.7946	80.0323	74.0244	118.636	-1.71883	1.46422	77.5297	8.24742	77.0898	-209.28	223.179	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.892246	-0.612489	30.9229	25.3017	-17.7777	31.4002	44.0703	1	1	0	0	262.5425381274467	1.186203	2.6618753071795864	2.9142164827242016
