eventno	jetmultiplicity	highb_Eta	highb_Phi	highb_pT	highb_Px	highb_Py	highb_Pz	highb_E	lowb_Eta	lowb_Phi	lowb_pT	lowb_Px	lowb_Py	lowb_Pz	lowb_E	genphoton_Eta	genphoton_Phi	genphoton_pT	genphoton_Px	genphoton_Py	genphoton_Pz	genphoton_E	jet1_Eta	jet1_Phi	jet1_pT	jet1_Px	jet1_Py	jet1_Pz	jet1_E	jet2_Eta	jet2_Phi	jet2_pT	jet2_Px	jet2_Py	jet2_Pz	jet2_E	jet3_Eta	jet3_Phi	jet3_pT	jet3_Px	jet3_Py	jet3_Pz	jet3_E	jet4_Eta	jet4_Phi	jet4_pT	jet4_Px	jet4_Py	jet4_Pz	jet4_E	isophoton_Eta	isophoton_Phi	isophoton_pT	isophoton_Px	isophoton_Py	isophoton_Pz	isophoton_E	jet1_btag	jet2_btag	jet3_btag	jet4_btag	invmass_2j1p	delta_eta_jet1_jet2	delta_phi_jet1_jet2	deltaR_jet1_jet2
255342	2	2.23616	0.611078	40.3978	33.087	23.1782	186.85	191.225	-2.51622	-1.89477	14.0099	-4.45985	-13.281	-86.1671	87.425	0.169873	-2.80873	30.2897	-28.6271	-9.89721	5.17019	30.7278	1.98205	-0.089621	49.1293	48.9321	-4.39712	174.896	181.666	-1.72011	-2.14874	26.1798	-14.3021	-21.9279	-70.7655	75.4529	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.323177	-2.68346	31.5781	-28.3217	-13.9661	10.3839	33.2415	1	1	0	0	263.6900549528852	3.70216	2.059119	4.236267191969954
255488	2	1.20916	-0.204865	55.4367	54.2775	-11.2777	84.6031	101.257	0.560039	-2.99091	39.9267	-39.4742	-5.99347	23.5478	46.5911	2.43766	2.2794	22.7471	-14.8032	17.2712	129.19	131.177	0.73379	-2.87042	51.577	-49.6922	-13.8154	41.3357	66.0971	1.25597	-0.346096	39.1604	36.8384	-13.2843	63.1748	74.3276	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.11408	2.57445	31.5215	-26.5866	16.934	128.627	132.433	1	1	0	0	135.7915458870323	-0.52218	-2.524324	2.5777671751684634
255624	4	0.983318	-1.87799	403.291	-121.95	-384.411	463.632	614.508	1.05537	1.27623	364.256	105.754	348.566	459.871	586.673	1.11701	1.14643	39.3339	16.1953	35.845	53.6601	66.5324	0.991	-1.80989	496.887	-117.675	-482.752	577.065	761.513	0.71115	1.18343	292.348	110.434	270.687	225.876	369.442	0.932656	1.68449	111.058	-12.5994	110.341	119.263	162.965	-0.0333572	1.26844	27.855	8.29426	26.5914	-0.929335	27.8705	1.2422	-2.98083	11.33	-11.1839	-1.81364	17.9835	21.255	1	1	1	0	779.4788642493717	0.27985000000000004	-2.9933199999999998	3.0063733375780193
255724	2	-0.888384	0.277318	39.1443	37.6487	10.7168	-39.5333	55.8323	0.500224	-1.48905	25.6137	2.09142	-25.5282	13.3537	29.2656	-0.119116	2.78483	42.4105	-39.7401	14.8114	-5.06372	42.7118	-0.924102	0.239907	39.5431	38.4106	9.39591	-41.9694	57.6636	0.70141	-1.67916	26.3178	-2.84628	-26.1635	20.0109	33.0615	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.203761	2.87322	46.9063	-45.2272	12.4379	-9.62396	47.8834	1	1	0	0	134.5464493296196	-1.625512	1.919067	2.514976622681213
256098	2	-0.352052	2.14153	30.0404	-16.2293	25.2791	-10.7956	32.2655	1.05203	-0.148165	19.6267	19.4116	-2.89736	24.6728	31.8754	1.91012	-1.71203	22.6068	-3.18228	-22.3817	74.6682	78.0155	-0.341963	2.10523	48.7368	-24.8243	41.9408	-16.9929	51.6143	1.22932	-0.20392	22.5515	22.0842	-4.5669	35.2527	41.8488	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.91355	-1.77684	21.5319	-4.40511	-21.0765	71.3735	74.5506	1	1	0	0	140.98870751267953	-1.571283	2.3091500000000003	2.793045647423078
256842	2	-2.14628	2.68185	100.79	-90.3241	44.7224	-425.133	436.943	0.0180441	-0.360671	96.2964	90.1007	-33.9833	1.73767	96.4267	0.219511	-1.55	10.7414	0.223339	-10.7391	2.37684	11.0012	-1.98229	2.74997	92.6049	-85.5939	35.3464	-329.749	342.505	-0.0580106	-0.405876	69.1963	63.5746	-27.3204	-4.01637	69.3128	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.194878	-1.40703	12.2817	2.0023	-12.1174	2.40861	12.5157	1	1	0	0	264.28052705712605	-1.9242794	3.1273393071795863	3.671934415467528
257245	2	-1.16305	-1.06606	93.921	45.4177	-82.2094	-135.582	165.002	-1.68373	-2.81196	29.0373	-27.474	-9.39925	-75.4958	81.0239	-1.85279	1.76422	93.3495	-17.9436	91.6087	-290.354	304.991	-1.18436	-1.11288	72.4526	32.03	-64.9881	-107.326	129.492	-1.72104	-2.79998	25.9198	-24.422	-8.68344	-70.1317	74.7683	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.8153	1.78189	94.6398	-19.8294	92.5391	-282.98	298.386	1	1	0	0	200.36237142758714	0.5366799999999998	1.6871	1.770404426225827
258024	2	-0.43317	1.80507	40.3921	-9.37651	39.2887	-18.049	44.4902	-0.833892	-1.0596	28.4486	13.9176	-24.8118	-26.5697	39.2092	-1.46013	-1.87475	15.1724	-4.54108	-14.4769	-30.9087	34.4319	-0.79016	1.7251	48.8219	-7.50367	48.2418	-42.7186	64.8726	-0.874019	-1.17761	36.8534	14.1199	-34.0412	-36.4711	51.849	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.29635	-1.75589	22.7462	-4.18629	-22.3577	-38.4684	44.6901	1	1	0	0	110.1719815219205	0.08385900000000002	2.90271	2.9039210863900897
258343	2	0.923005	2.47201	45.7051	-35.8365	28.3673	48.4365	66.7618	-1.58331	1.53912	5.15231	0.163199	5.14972	-12.0198	13.8964	1.0087	-0.754244	48.9487	35.6733	-33.517	58.1841	76.0353	0.786889	2.49636	65.403	-52.2544	39.3324	56.9429	86.7183	-1.67817	1.23697	23.6977	7.76483	22.3895	-61.2467	65.6715	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.20126	-0.740036	39.8692	29.4412	-26.8843	60.2721	72.2653	1	1	0	0	214.23667178544173	2.465059	1.2593900000000002	2.7681363849313856
258469	2	-1.62305	-1.59693	24.5574	-0.64159	-24.5491	-59.8125	64.8282	1.55757	1.70343	13.574	-1.79505	13.4548	30.7901	33.9761	-1.8922	1.3546	11.3587	2.43664	11.0943	-36.8205	38.5327	-1.68276	-1.7277	44.0643	-6.8857	-43.523	-114.447	122.637	0.795058	1.5384	25.7591	0.834344	25.7456	22.7068	34.3385	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.34983	1.33187	25.6737	6.07581	24.9444	-46.1803	52.8371	1	1	0	0	157.9490307393872	-2.477818	3.0170853071795865	3.904149816787637
