axion_Eta	axion_Phi	axion_pT	axion_Px	axion_Py	axion_Pz	axion_E	b1_Eta	b1_Phi	b1_pT	b1_Px	b1_Py	b1_Pz	b1_E	b2_Eta	b2_Phi	b2_pT	b2_Px	b2_Py	b2_Pz	b2_E	genphoton_Eta	genphoton_Phi	genphoton_pT	genphoton_Px	genphoton_Py	genphoton_Pz	genphoton_E	jet1_Eta	jet1_Phi	jet1_pT	jet1_Px	jet1_Py	jet1_Pz	jet1_E	jet2_Eta	jet2_Phi	jet2_pT	jet2_Px	jet2_Py	jet2_Pz	jet2_E	isophoton_Eta	isophoton_Phi	isophoton_pT	isophoton_Px	isophoton_Py	isophoton_Pz	isophoton_E	deltaEta_b1_jet1	deltaPhi_b1_jet1	deltaEta_b1_jet2	deltaPhi_b1_jet2	deltaEta_b2_jet1	deltaPhi_b2_jet1	deltaEta_b2_jet2	deltaPhi_b2_jet2	deltaEta_jet1_jet2	deltaPhi_jet1_jet2	deltaR_b1_jet1	deltaR_b1_jet2	deltaR_b2_jet1	deltaR_b2_jet2	deltaR_jet1_jet2	deltaEta_b1_b2	deltaPhi_b1_b2	deltaR_b1_b2	invmass
3.00128	2.63581	14.8214	-12.9657	7.1808	148.67	156.035	1.64858	1.31308	21.9406	5.59204	21.216	54.931	59.3371	2.10167	-2.49407	23.2675	-18.5577	-14.0352	93.7391	96.6979	0.628069	-0.937846	30.0721	17.7884	-24.2467	20.1539	36.201	1.61321	1.30841	29.1322	7.55643	28.1352	70.2034	76.0079	2.06779	-2.59188	23.516	-20.0515	-12.2857	91.4876	94.4616	0.626516	-0.942148	29.1711	17.1541	-23.5942	19.4955	35.086	0.0353699999999999	0.0046699999999999	-0.4192100000000001	2.3782253071795862	0.4884599999999999	2.480705307179586	0.0338799999999999	0.0978100000000004	-0.45458	2.382895307179586	0.0356769645569797	2.4148897771553544	2.528337792437744	0.1035115959687612	2.425867478115508	-0.45309	2.476035307179586	2.517149457322689	96.6583098309147
0.396851	2.66093	40.9114	-36.2756	18.9161	16.6653	63.0617	0.291581	1.65103	25.2469	-2.02348	25.1657	7.46626	26.744	0.261224	-2.96112	34.8176	-34.2521	-6.24955	9.199	36.3177	0.214169	-0.455603	33.0867	29.7117	-14.5583	7.14044	33.8484	0.293168	1.67566	24.3937	-2.55343	24.2597	7.25434	25.4496	0.200822	-2.9029	24.0169	-23.336	-5.67847	4.85561	24.5028	0.217878	-0.469818	32.0689	28.5943	-14.5184	7.04254	32.8331	-0.001587	0.0246299999999999	0.0907589999999999	1.7292553071795869	-0.0319439999999999	1.6464053071795863	0.060402	0.0582200000000003	0.0923459999999999	1.7046253071795867	0.0246810751183978	1.7316353869939731	1.64671517107395	0.0838926099486721	1.707124840658439	0.0303569999999999	1.6710353071795865	1.6713110258984636	80.39153082087752
0.786762	2.90046	107.241	-104.138	25.6093	93.3511	149.139	1.12176	2.75488	52.3066	-48.444	19.7272	71.7793	88.9401	0.376242	3.03637	56.0042	-55.6944	5.88213	21.5718	60.1989	-0.62442	1.55372	16.922	0.288969	16.9195	-11.2666	20.3295	0.39157	3.04577	49.9172	-49.6882	4.77566	20.0494	53.7932	1.1136	2.70837	35.4983	-32.2189	14.9021	48.2231	59.8798	-0.622566	1.56725	16.8868	0.0599482	16.8867	-11.2056	20.2665	0.7301900000000001	0.2908900000000001	0.0081600000000001	0.04651	-0.0153279999999999	0.0094000000000002	-0.737358	0.3279999999999998	-0.72203	0.3374000000000001	0.7859990001265906	0.0472203949581111	0.0179807559351659	0.8070197148545999	0.7969730741373888	0.7455180000000001	0.2814899999999998	0.7968900227911001	81.53062364397907
-1.80747	-1.64624	33.0857	-2.49373	-32.9916	-98.1142	112.898	-1.32142	-0.27305	19.8811	19.1445	-5.36131	-34.6129	40.1921	-1.35501	-2.23517	35.0948	-21.6383	-27.6303	-63.5013	72.7059	-0.153842	2.37256	42.1763	-30.3072	29.3311	-6.51412	42.6764	-1.55469	-0.205947	51.8827	50.7863	-10.6097	-117.317	128.277	-1.34026	-2.23203	33.2358	-20.4097	-26.2309	-59.1304	67.8308	-0.142975	2.36451	43.2718	-30.8511	30.3423	-6.20787	43.7148	0.2332699999999998	0.067103	0.0188399999999999	1.95898	0.1996799999999998	2.029223	-0.01475	0.0031400000000001	-0.2144299999999999	2.026083	0.2427296963888018	1.959070592398344	2.0390238071511084	0.0150805205480448	2.037398475455648	0.03359	1.96212	1.9624074965460157	155.27227298795847
-1.22519	-2.16734	31.771	-17.8485	-26.2836	-49.4216	74.0053	-0.203227	2.81121	16.9266	-16.0112	5.49104	-3.46368	17.9052	-1.16327	-1.62856	31.8277	-1.83733	-31.7746	-45.9579	56.1001	-1.17959	0.870678	33.774	21.7609	25.8292	-49.743	60.1253	-0.199115	2.55447	43.6057	-36.3035	24.156	-8.74002	44.4729	-1.20274	-1.66728	24.5913	-2.36896	-24.4769	-37.2418	44.6283	-1.1823	0.865754	33.5754	21.759	25.5705	-49.6124	59.9057	-0.004112	0.2567400000000002	0.999513	1.8046953071795864	-0.964155	2.1001553071795867	0.0394699999999998	0.03872	1.003625	2.061435307179586	0.2567729272022269	2.062995731678818	2.310897483295091	0.0552912226307214	2.2927665965622395	0.960043	1.843415307179586	2.078427905074652	110.18708599863236
1.51072	1.2639	34.2555	10.3486	32.6549	73.8074	92.9858	1.24931	1.53674	41.0141	1.39662	40.9904	65.6479	77.5493	0.625483	-0.749747	12.2319	8.95202	-8.33544	8.15954	15.4365	2.08008	3.01022	35.7975	-35.489	4.68918	141.046	145.518	0.914927	-0.773557	70.2016	50.2243	-49.0488	73.5729	101.692	1.23485	1.56854	29.5932	0.0667162	29.5932	46.5645	55.1726	2.07364	3.00683	36.1523	-35.8245	4.8574	141.5	146.045	0.3343829999999999	2.3102970000000003	0.0144599999999999	0.0318	-0.289444	0.0238099999999999	-0.609367	2.318287	-0.3199229999999999	2.342097	2.3343701974832527	0.0349332449108295	0.2904216679863953	2.3970362440017468	2.3638462478211224	0.6238269999999999	2.286487	2.3700596885095533	151.25379056141074
-1.1941	0.0471155	39.5368	39.4929	1.86211	-59.2581	84.2592	-1.24708	-0.760576	27.0194	19.5739	-18.6255	-43.1339	51.1143	-0.537956	0.799469	28.5746	19.919	20.4876	-16.1241	33.1449	-0.715297	-3.08807	32.2768	-32.2306	-1.72672	-25.1073	40.8921	-0.599077	0.620846	27.0095	21.9692	15.7121	-17.1662	32.003	-1.28387	-0.804768	23.9302	16.5903	-17.2458	-39.8872	46.515	-0.715362	-3.08511	31.2307	-31.1809	-1.76315	-24.2961	39.5684	-0.648003	1.381422	0.0367900000000001	0.044192	0.0611209999999999	0.1786229999999999	0.7459140000000001	1.604237	0.6847930000000001	1.425614	1.5258553765324552	0.0575016257509299	0.1887907645251748	1.7691704405073585	1.5815551618090973	-0.709124	1.560045	1.7136502704463945	85.21351862719611
1.33678	0.361818	29.6047	27.6879	10.4793	52.4606	75.192	0.103361	1.60517	15.858	-0.54494	15.8487	1.64203	16.6212	1.33493	-0.187937	28.7389	28.2328	-5.36936	50.8185	58.5708	0.10533	-3.05514	32.3177	-32.197	-2.79041	3.41031	32.4972	0.103466	1.64223	31.0667	-2.21743	30.9875	3.2201	31.2331	1.3411	-0.155017	26.4991	26.1813	-4.09138	47.1906	54.1217	0.106813	-3.06305	32.3679	-32.2681	-2.53965	3.46388	32.5527	-0.000105	0.03706	-1.237739	1.760187	1.231464	1.830167	-0.00617	0.03292	-1.237634	1.797247	0.0370601487449795	2.15180298984131	2.205904538094294	0.0334932127452712	2.1821628484063695	-1.231569	1.793107	2.1753149002408825	101.6735477856448
0.572521	0.386798	56.7377	52.546	21.4029	34.2874	80.1226	0.186139	0.941859	36.7938	21.6453	29.7535	6.88837	37.727	0.775784	-0.263934	32.0092	30.9007	-8.35056	27.3991	42.3956	0.763705	-2.27622	51.0059	-33.0701	-38.8325	42.852	66.6175	0.807197	-0.210707	44.8781	43.8856	-9.38631	40.2896	60.31	0.235242	0.938187	42.6965	25.2444	34.4342	10.1369	43.8834	0.748857	-2.26966	53.0651	-34.1395	-40.6251	43.5578	68.6527	-0.6210580000000001	1.152566	-0.049103	0.003672	-0.031413	0.053227	0.5405420000000001	1.202121	0.571955	1.148894	1.3092446004165914	0.0492401075648703	0.0618052594687539	1.3180593888004442	1.2833900207111637	-0.589645	1.205793	1.3422436384181524	139.9133341647103
-1.65048	0.571447	35.1314	29.5497	19.0008	-88.1358	105.009	-1.1813	-0.434	25.7697	23.3806	-10.8362	-38.0326	46.1806	-1.27231	1.36691	30.4681	6.16907	29.837	-50.1032	58.8279	-1.11628	-2.32269	32.1355	-21.9493	-23.4716	-43.8004	54.3246	-1.16541	-0.185615	25.9971	25.5506	-4.7978	-37.6366	45.7423	-1.18732	1.35125	22.612	4.92454	22.0692	-33.6153	40.5128	-1.12363	-2.32311	30.4928	-20.8366	-22.2631	-41.9411	51.8543	-0.0158899999999999	0.248385	0.0060199999999999	1.78525	-0.1069	1.5525250000000002	-0.0849900000000001	0.01566	0.0219099999999998	1.536865	0.2488927486388464	1.785260149922134	1.556200978545188	0.0864206902309858	1.537021169771256	0.09101	1.80091	1.803208154429211	78.3819660198594
-1.1326	-0.751002	42.7538	31.2533	-29.174	-59.4602	85.9556	-0.825931	-1.42104	34.7237	5.18055	-34.3351	-32.0531	47.4893	-0.903241	0.195425	26.5786	26.0727	5.16113	-27.407	38.4663	-1.66956	2.24029	35.3612	-21.9447	27.728	-90.551	97.2106	-0.821606	-1.40076	27.1751	4.59864	-26.7832	-24.9254	36.8749	-0.920539	0.167915	24.2401	23.8992	4.05116	-25.6016	35.2566	-1.65428	2.25074	35.4684	-22.3008	27.5805	-89.3466	96.1292	-0.004325	0.02028	0.094608	1.588955	-0.081635	1.596185	0.017298	0.0275099999999999	0.098933	1.568675	0.0207360561582959	1.5917690365404775	1.5982711995934855	0.032496475255018	1.5717916509874963	0.0773099999999999	1.616465	1.618312680641476	93.19403585206936
-0.366618	-0.443657	37.3109	33.6988	-16.0155	-13.9874	60.1126	0.256815	-1.2035	25.5346	9.16918	-23.8315	6.62998	26.7966	-0.733322	0.308462	25.7447	24.5296	7.81594	-20.6173	33.316	-0.33068	2.78856	37.5766	-35.2592	12.992	-12.6535	39.6499	-0.687108	0.169353	25.0091	24.6514	4.21516	-18.5684	31.1487	0.231435	-1.19821	24.2588	8.83073	-22.5944	5.66459	24.9114	-0.331495	2.77886	36.7958	-34.4015	13.0561	-12.4223	38.8361	0.943923	1.372853	0.02538	0.00529	-0.0462139999999999	0.139109	-0.964757	1.506672	-0.918543	1.367563	1.6660480153759076	0.0259254411727168	0.1465846092773726	1.7890826097844117	1.6474069933741329	0.990137	1.511962	1.8073185574803907	91.29455551154956
1.18172	2.94034	39.3606	-38.5662	7.86808	58.1206	83.3803	0.632585	2.29406	33.0535	-21.876	24.7784	22.3318	40.1663	1.19824	-2.34964	23.7597	-16.6902	-16.9104	35.7888	43.214	1.47547	-0.181924	30.091	29.5944	-5.44412	62.3546	69.2356	0.686815	2.4209	33.6637	-25.2932	22.2148	24.9818	41.9206	1.20491	-2.34038	24.6579	-17.1578	-17.7093	37.4396	44.8301	1.47334	-0.175535	31.8876	31.3976	-5.56869	65.9217	73.2291	-0.05423	0.12684	-0.572325	1.6487453071795866	0.511425	1.5126453071795858	-0.0066699999999999	0.0092599999999998	-0.518095	1.521905307179586	0.1379466509198393	1.745255566835903	1.5967627738513392	0.0114121207494486	1.6076747783822418	-0.565655	1.6394853071795863	1.7343233987589346	94.85924871035984
-1.51231	0.580799	57.6314	48.1812	31.6219	-124.392	144.283	-2.29111	-2.53086	5.6349	-4.61625	-3.23145	-27.5679	28.5278	-1.21155	0.583466	63.264	52.7975	34.8534	-96.824	115.755	-1.5762	-2.02943	24.5087	-10.8506	-21.9759	-56.7348	61.8022	-1.19205	0.612417	73.4561	60.1063	42.226	-109.825	132.126	-2.33361	-2.50911	28.0626	-22.6343	-16.5891	-143.374	146.094	-1.56626	-2.04176	23.8334	-10.8144	-21.2387	-54.5769	59.5539	-1.09906	3.139908307179586	0.0424999999999999	0.0217499999999999	-0.0194999999999998	0.0289509999999999	1.1220600000000005	3.092576	1.14156	3.1215270000000004	3.326703632891781	0.0477421459509309	0.0349057359326514	3.28983965557229	3.3237163003675576	-1.0795600000000003	3.114326	3.296130493150416	136.51091934127462
