b1_Eta	b1_Phi	b1_pT	b1_Px	b1_Py	b1_Pz	b1_E	b2_Eta	b2_Phi	b2_pT	b2_Px	b2_Py	b2_Pz	b2_E	genphoton_Eta	genphoton_Phi	genphoton_pT	genphoton_Px	genphoton_Py	genphoton_Pz	genphoton_E	jet1_Eta	jet1_Phi	jet1_pT	jet1_Px	jet1_Py	jet1_Pz	jet1_E	jet2_Eta	jet2_Phi	jet2_pT	jet2_Px	jet2_Py	jet2_Pz	jet2_E	isophoton_Eta	isophoton_Phi	isophoton_pT	isophoton_Px	isophoton_Py	isophoton_Pz	isophoton_E	deltaEta_b1_jet1	deltaPhi_b1_jet1	deltaEta_b1_jet2	deltaPhi_b1_jet2	deltaEta_b2_jet1	deltaPhi_b2_jet1	deltaEta_b2_jet2	deltaPhi_b2_jet2	deltaEta_jet1_jet2	deltaPhi_jet1_jet2	deltaR_b1_jet1	deltaR_b1_jet2	deltaR_b2_jet1	deltaR_b2_jet2	deltaR_jet1_jet2	deltaEta_b1_b2	deltaPhi_b1_b2	deltaR_b1_b2	invmass
0.0441645	2.21476	31.1944	-18.7281	24.9468	1.37813	31.5765	1.72959	-0.682429	38.3115	29.7314	-24.1623	104.61	111.503	0.691652	-3.07041	11.0312	-11.0033	-0.784523	8.2528	13.7767	-0.0474399	2.24142	35.1489	-21.8442	27.5368	-1.66809	35.1884	1.84231	-0.701976	31.4588	24.0209	-20.3138	96.777	101.762	0.690478	-3.06128	10.3313	-10.298	-0.82879	7.714	12.8934	0.0916044	0.0266600000000001	-1.7981455	2.916736	1.7770299	2.923849	-0.1127199999999999	0.019547	-1.8897499	2.9433960000000003	0.0954050402198961	3.426467004491106	3.421509643460765	0.1144022884779845	3.497818562671027	-1.6854255	2.897189	3.351770161835571	108.5070142541845
-0.0617407	2.52007	45.851	-37.2765	26.6979	-2.83267	46.1782	0.36438	-0.706728	62.2118	47.3115	-40.3972	23.1737	66.5539	-1.01898	2.20301	16.9816	-10.035	13.6993	-20.4576	26.5873	0.324688	-0.715696	78.3628	59.1354	-51.4171	25.8929	82.5298	0.0618913	2.55568	47.332	-39.4374	26.1726	2.93131	47.4227	-0.793546	2.18161	20.916	-11.996	17.1341	-18.3955	27.8545	-0.3864286999999999	3.0474193071795863	-0.123632	0.0356100000000001	0.039692	0.0089679999999999	0.3024887	3.020777307179586	0.2627967	3.011809307179586	3.071822191135841	0.1286582431249549	0.0406925040763037	3.0358845421390517	3.0232527860475824	-0.4261206999999999	3.056387307179586	3.0859491607051748	157.06429213725153
-1.24014	2.62071	70.8772	-61.4776	35.2715	-112.225	132.816	-2.06662	-0.715326	29.6467	22.3797	-19.4442	-115.199	119.046	-1.28685	-0.384647	42.18	39.0979	-15.8273	-70.5508	82.1984	-1.02521	2.70344	56.9938	-51.61	24.1804	-69.2179	89.6627	-2.30966	-0.75078	23.3686	17.0861	-15.9423	-116.513	118.833	-1.4539	-0.444358	46.135	41.6547	-19.8324	-93.3338	104.114	-0.21493	0.0827300000000001	1.06952	2.9116953071795866	-1.04141	2.864419307179586	0.2430400000000001	0.0354539999999999	1.28445	2.828965307179586	0.2303023182688356	3.101909507424681	3.0478570759540515	0.2456123525313824	3.1069046512124716	0.8264799999999999	2.9471493071795862	3.0608427318647253	140.22282855109574
1.73491	0.0797179	31.4178	31.318	2.50191	86.2728	91.9357	1.77188	2.82984	35.8805	-34.1509	11.0057	102.473	108.674	1.98399	-1.36406	13.8015	2.83294	-13.5076	49.2309	51.1289	1.79809	2.77319	43.3763	-40.4659	15.6209	127.363	134.547	1.65736	0.0533632	24.8156	24.7803	1.32361	62.7189	67.4498	1.92937	-1.56548	12.1702	0.0646947	-12.17	41.0129	42.7805	-0.06318	2.6934721	0.07755	0.0263546999999999	-0.02621	0.0566499999999998	0.1145199999999999	2.7764767999999997	0.14073	2.7198268	2.694212995640547	0.0819058771523143	0.0624194408818277	2.778837571960304	2.7234652108845157	-0.0369699999999999	2.7501221	2.7503705833593424	79.02095532273918
0.817676	2.66865	36.2483	-32.2693	16.5115	33.0543	49.281	0.725351	-0.101096	17.1347	17.0472	-1.7293	13.5476	22.3434	0.733419	-0.770738	21.2185	15.2221	-14.7822	16.9952	27.1856	1.18628	2.62877	32.7417	-28.53	16.0643	48.6136	58.6115	0.75493	-0.17565	26.6139	26.2044	-4.65074	22.0552	34.5649	0.874936	-0.73191	20.6565	15.3664	-13.8046	20.4689	29.0803	-0.368604	0.0398800000000001	0.0627459999999999	2.8443	-0.460929	2.729866	-0.029579	0.074554	0.43135	2.80442	0.370755071733348	2.844992012381757	2.7685057198779632	0.0802073323144461	2.837399224448333	0.0923249999999999	2.769746	2.7712843250271164	80.40423369872009
-2.25621	-2.56694	33.7163	-28.3008	-18.3264	-159.176	162.775	0.613728	0.250425	33.3183	32.279	8.25681	21.7565	40.0692	0.00783328	1.94705	10.827	-3.97825	10.0696	0.0848115	10.8273	0.588973	0.332843	43.3044	40.9278	14.1489	27.0055	51.035	-2.23519	-2.71604	25.8919	-23.5826	-10.6888	-119.638	122.407	0.0804564	1.89216	10.5219	-3.32348	9.98323	0.847468	10.556	-2.8451829999999996	2.899783	-0.02102	0.1490999999999998	0.024755	0.0824179999999999	2.848918	2.966465	2.8241629999999995	3.048883	4.062487876976127	0.1505744015428915	0.0860554283528935	4.112936708356815	4.15590955126047	-2.869938	2.817365	4.021702334468452	158.28278539219505
1.23388	0.267258	48.7751	47.0435	12.8809	76.6588	90.9817	-0.219889	2.9772	28.9342	-28.5441	4.73532	-6.41372	30.0069	1.00427	-2.38064	25.5452	-18.4994	-17.6162	30.1892	39.5468	1.16592	0.294941	46.1784	44.1843	13.4233	66.8947	81.2855	-0.268975	-3.10133	32.1513	-32.1252	-1.29415	-8.75254	33.3214	1.07954	-2.39801	24.5996	-18.1065	-16.6522	32.0237	40.3814	0.06796	0.027683	1.502855	2.9145973071795863	-1.385809	2.6822589999999997	0.049086	0.2046553071795864	1.434895	2.886914307179586	0.0733819466149543	3.2792454336391925	3.0191025036526997	0.2104595689266014	3.2238483025761604	1.453769	2.709942	3.0752609561994895	125.83505791029737
-1.12503	1.57749	32.6086	-0.218375	32.6079	-44.9291	55.7139	0.238426	3.11249	22.7903	-22.7806	0.663193	5.48542	23.9076	1.80522	-0.96596	40.4465	22.999	-33.2711	119.658	126.309	-1.14953	1.9644	28.6687	-10.995	26.4765	-40.7083	49.7902	0.366921	-3.10794	26.5545	-26.5395	-0.893406	9.9635	28.3622	1.03058	-0.938889	70.7201	41.7733	-57.0642	86.4867	111.72	0.0244999999999999	0.3869099999999998	-1.491951	1.597755307179586	1.387956	1.1480900000000005	-0.128495	0.0627553071795858	-1.516451	1.2108453071795855	0.3876849211666607	2.1860328927126265	1.8012585894412831	0.1430006769361746	1.9405591960359845	-1.363456	1.535	2.0531042993321114	178.7046205494608
-1.70072	1.30701	36.9911	9.64487	35.7116	-97.9405	104.799	-2.39543	-1.57926	57.9212	-0.49031	-57.9191	-315.142	320.455	-1.27987	1.9618	24.0204	-9.15456	22.2075	-39.8511	46.5305	-2.28341	-1.58148	48.147	-0.514166	-48.1443	-233.709	238.616	-1.85278	1.36458	47.7868	9.78487	46.7743	-148.635	156.128	-1.46062	1.98016	28.6614	-11.408	26.2932	-58.4199	65.072	0.5826899999999999	2.88849	0.15206	0.0575699999999999	-0.1120200000000002	0.0022199999999998	-0.5426500000000001	2.94384	-0.4306299999999998	2.94606	2.9466764525817895	0.1625931994272823	0.1120419956980419	2.9934366484193378	2.97736657476032	0.6947100000000002	2.88627	2.968699462222473	128.57762006025163
2.42652	-0.689709	32.3491	24.9551	-20.5842	181.659	184.576	0.589944	2.86072	50.7113	-48.7242	14.0567	31.6827	59.9793	2.42005	0.268013	24.6491	23.7691	6.52747	137.512	139.704	0.623211	2.89571	57.5371	-55.8066	14.0051	38.2244	69.0769	2.48682	-0.775325	33.3301	23.8042	-23.3294	198.979	201.751	2.40029	0.0452156	26.033	26.0064	1.1767	142.344	144.705	1.803309	2.6977663071795863	-0.0602999999999998	0.085616	-0.0332669999999999	0.0349899999999996	-1.896876	2.647140307179586	-1.863609	2.6121503071795864	3.2449755619471747	0.1047195753238141	0.0482803623536523	3.2566071862094192	3.2087953708797645	1.836576	2.732756307179586	3.2925625944248664	168.84616292320652
