isophoton_pT	deltaR_jet12	inv_mass	jet1_Eta	jet2_Eta	isophoton_Phi	jet2_Phi	label
48.7541	2.0013677172026636	145.57405813748923	-0.985343	0.214576	-2.76308	-0.47312	0
54.1823	2.9915462321211392	351.71169271920985	2.14854	1.09662	-2.11742	-2.93495	0
10.0789	3.3972353704995184	235.9040092247605	0.843853	-1.1672	1.60374	2.40982	0
11.4511	3.112620722435461	169.37537483385813	1.03019	0.971122	-0.49133	-3.1363	0
11.5826	3.3911872189902956	121.01607504886384	-0.875489	-2.39821	-0.62536	-0.920831	0
28.2248	3.0799237866143123	144.20512273171732	1.77535	1.90401	1.80953	1.92512	0
25.1585	3.962462851892116	262.07697305299433	1.66908	-1.0461	-1.11811	0.162405	0
18.6485	2.9045889237722182	109.54586907998083	-0.511118	0.0608825	1.40713	1.72436	0
14.8658	2.083125615474017	79.58644767669622	-1.79289	-1.36147	-2.72795	-1.30594	0
14.86	2.7619564747077385	79.21179412558025	-0.154767	0.166621	-2.30559	1.96688	0
21.9863	3.2592353313838758	142.21220780207867	1.22007	0.0585764	2.20174	1.68791	0
63.2468	1.8028355692555547	149.14307872985952	-1.88265	-0.114967	-2.75339	1.15033	0
16.2745	3.8498067534341	139.59768488243566	-0.0127441	2.3652	0.78235	-1.63209	0
20.3848	3.851458560047739	147.76622012271787	0.233324	-2.23613	0.145441	-2.59517	0
62.4215	3.7216700815037327	269.5202077152102	1.71166	-0.950906	-0.754301	-0.799792	0
185.439	2.7631275245715674	514.0183644386562	-0.216334	2.2498	-1.75543	0.235473	0
51.0242	2.9029688567135885	186.47613192972813	0.408655	-1.56215	-1.85228	-0.200308	0
30.8602	1.920222100606073	82.53886229283195	2.35902	2.05291	3.00623	-0.531596	0
12.7299	3.109209690628955	100.32096619098871	-0.895732	0.494042	1.3408	0.555415	0
11.0176	2.513685551777708	110.57511754530265	0.259758	-0.720662	1.53129	-0.330426	0
24.5688	2.607256871458008	121.01873490216582	-0.892546	-2.476	3.08425	-1.64089	0
14.5008	3.5229937495643044	188.6491127261072	-0.849652	0.83878	-0.280874	1.35098	0
11.5593	3.048391988444072	107.86814807649709	0.687742	0.720029	-2.64943	-2.73978	0
23.4843	3.675675303451054	210.87712282050597	-1.64943	1.02367	2.77533	1.26725	0
20.8944	3.2331329804179103	134.29676427494445	0.427287	-0.698892	0.769224	2.5925	0
36.8178	1.4326702095288677	101.08184930259732	0.0627507	-0.957025	-1.33376	1.46059	0
19.7514	3.234281153126456	95.89258981984896	0.225277	-1.38676	2.19232	-1.47813	0
15.5942	3.3305800005591877	128.05889101074237	-0.0524622	1.6892	-2.76402	-0.872874	0
63.8959	0.8187989180507019	148.6869116258726	-2.46556	-1.69356	2.40708	-0.791519	0
57.8384	1.3329524416381104	204.71887949174965	-0.822832	-0.306745	-0.880906	2.2301	0
41.185	3.3068332825346465	274.91556877413745	1.43585	-0.371721	1.45683	2.85641	0
65.0311	0.7023181051923693	140.6474561796237	1.86034	2.18194	2.9562	0.212675	0
215.132	1.1806554562767242	506.55882715194105	-1.43518	-1.60931	1.3369	-0.914656	0
23.2152	2.6082308913671737	132.59362090621062	0.917269	1.02141	3.04785	1.78904	0
