isophoton_pT	deltaR_jet12	inv_mass	label
29.9078	5.064636903489482	80.52088953469092	1
20.9505	4.120192637152556	87.18771919929945	1
30.1713	3.868224620939301	130.2150271696823	1
27.7261	3.2902445821317325	95.84720524142683	1
30.0002	3.6829255446313702	122.78513826363094	1
23.9593	5.049181543716449	84.93977953624203	1
34.9312	4.369008180058462	118.45946904550055	1
65.692	3.5436093945788736	302.63123045798284	1
39.5108	3.846340501294651	135.29860020809045	1
30.6857	4.864050920179599	94.46155335178642	1
25.7871	4.343883023490503	91.62789480294276	1
36.7027	4.465671772218222	101.07556749855773	1
29.5644	4.4090594130447895	122.09341028222447	1
30.3798	5.573229936005843	89.7398457307182	1
28.9198	4.752064024607466	87.42268730457498	1
23.1886	2.7340705165530297	323.56269633494463	1
29.7583	1.351421771614181	99.93848330461638	1
32.0673	4.626001161123561	83.8897621323508	1
27.0489	2.2166432523331308	101.94686109183306	1
55.2142	3.6399007471312377	148.35581676328837	1
30.7551	4.117794560020584	99.89092647155294	1
23.8906	3.232788354690285	104.82945529259227	1
21.9425	4.125555401932798	121.28135971942845	1
33.4084	4.79865721589857	89.1615206486216	1
28.0669	4.753243468147715	95.72788575474691	1
29.0225	4.177482279328063	82.85740418043515	1
14.8291	3.625779096765651	157.51076175857122	1
17.6226	3.9471000135686687	102.33811444940052	1
45.5657	4.963491790565313	114.79879748876935	1
33.1596	2.2817244363656184	100.96260131684801	1
46.2989	2.4091674202939326	93.83519148474616	1
42.1477	4.145982065001675	170.92509596774138	1
22.2954	4.121868412548628	111.20694111245476	1
20.2643	1.0566409790737816	102.97518833576754	1
24.7782	3.5522129264271305	103.33831791312734	1
31.0979	3.906380394060245	84.16078170880306	1
30.4945	4.625601915579339	88.98516156760911	1
21.4927	4.167027768861555	127.30463383333863	1
16.2161	5.696920626194198	85.05923405086577	1
27.7125	4.340866960311071	95.61707995325466	1
18.1968	3.257261163558887	123.03584270819782	1
25.5382	4.421691558069128	82.51680095038097	1
16.8315	4.305917816326483	129.31244015459146	1
15.4619	3.3357525585379775	106.62878134736556	1
26.9607	4.869373809433382	82.05517852085877	1
25.0927	4.8211545177113235	92.0502087010236	1
11.9315	4.498895709157893	96.03661412634455	1
28.9504	4.179907125709731	172.2041653721988	1
25.8291	4.595365485976061	93.33854931023939	1
26.0153	5.532674272438988	89.51704974870373	1
53.2196	4.106758272772983	172.73273982019157	1
34.7836	4.945673901804174	94.74492764478532	1
22.8122	2.3148613014645267	92.04041042267197	1
32.1286	4.268348461599169	132.2439742497948	1
20.3849	1.0462569632965701	86.69488566324303	1
47.844	4.111155633827987	200.4402006519738	1
19.8776	4.7467907310612905	126.68882521763473	1
31.933	4.783595787182266	91.59085665414979	1
32.1109	4.209687704834286	96.87418205249071	1
27.9019	4.848425602196437	274.42526154858297	1
