isophoton_pT	deltaR_jet12	inv_mass	jet1_Eta	jet2_Eta	isophoton_Phi	jet2_Phi	label
55.2142	2.6458658077220565	148.35581676328837	0.0345027	0.123429	-2.64457	-0.362841	1
30.7551	2.251140249624134	99.89092647155294	-0.53541	-0.0507059	-2.46971	2.92409	1
23.8906	3.116405719431281	104.82945529259227	-0.587372	-1.04387	0.894335	0.23008	1
21.9425	2.194699895438326	121.28135971942845	0.159644	0.48487	-1.89687	1.80062	1
33.4084	1.539349884813716	89.1615206486216	-0.398563	-0.754137	1.2609	-1.14106	1
28.0669	1.5722051387223615	95.72788575474691	2.3951	2.08034	-2.99136	-0.947124	1
29.0225	2.109376808500544	82.85740418043515	-1.48622	-1.38476	0.0839212	2.32293	1
14.8291	2.900905635082948	157.51076175857122	1.37799	0.500824	-2.08244	1.55997	1
17.6226	2.3382567089303943	102.33811444940052	0.167975	0.088128	1.40595	-3.10262	1
45.5657	1.7742165300831125	114.79879748876935	-1.12416	-2.17219	2.55315	-1.38119	1
33.1596	2.281724436365619	100.96260131684801	-0.242057	-0.575235	-0.15697	0.271832	1
46.2989	2.4091674202939326	93.83519148474616	-0.652238	0.0226902	1.30728	1.93016	1
42.1477	2.464360624646482	170.92509596774138	-0.428157	0.561295	-1.14237	-0.127012	1
22.2954	2.2075800207659517	111.20694111245476	-0.992638	-0.62886	3.10005	0.247051	1
20.2643	1.0566409790737816	102.97518833576754	0.118454	-0.578543	2.27423	0.112317	1
24.7782	2.7431136968904766	103.33831791312734	2.16642	2.36019	1.56561	-0.470234	1
31.0979	2.4274834947854953	84.16078170880306	-0.190434	-0.579018	-2.29584	-1.13294	1
30.4945	1.7150990765226946	88.98516156760911	0.738702	0.361119	0.46066	-2.91443	1
21.4927	2.673422515807219	127.30463383333863	1.01586	2.32926	1.74099	-0.552215	1
16.2161	0.9424828675365935	85.05923405086577	2.42823	1.72689	0.766619	-2.24805	1
27.7125	1.9579050801139468	95.61707995325466	-1.62036	-1.41548	-1.22724	0.560984	1
18.1968	3.1423797386243555	123.03584270819782	0.297731	0.905286	-0.802037	0.939488	1
25.5382	1.86161947950192	82.51680095038097	2.01603	2.03418	2.74341	-1.7157	1
16.8315	2.2061226718392573	129.31244015459146	-1.89216	-1.55551	0.830241	1.73088	1
15.4619	1.635514172295673	106.62878134736556	0.155522	0.193978	-2.2621	-0.635662	1
26.9607	1.6157775633177034	82.05517852085877	-0.652562	-1.7939	-0.22411	-2.05113	1
25.0927	1.7036398746260901	92.0502087010236	0.51886	1.28252	-1.66471	1.78765	1
11.9315	2.8487791267416003	96.03661412634455	-0.963544	-1.2623	-0.197146	-0.852815	1
28.9504	3.5533964095214596	172.2041653721988	-1.82299	0.41997	-2.27706	-1.10906	1
25.8291	1.7860519728820092	93.33854931023939	-1.52671	-1.02787	0.654561	-1.96891	1
26.0153	1.2198980506259531	89.51704974870373	1.10736	2.0068	-2.65411	-0.162411	1
53.2196	2.5322039946122037	172.73273982019157	-0.829571	-1.86744	-1.90225	2.16533	1
34.7836	2.0081758478631797	94.74492764478532	-0.747361	-2.06429	-2.76691	0.18291	1
22.8122	1.5921186579661706	92.04041042267197	-0.675561	-0.181773	0.757859	-1.12271	1
32.1286	2.1662506627223155	132.2439742497948	-0.514314	-1.16817	-0.759821	-3.0598	1
20.3849	1.0462569632965693	86.69488566324303	0.250438	0.432779	0.50453	-3.12364	1
47.844	2.4132543135380486	200.4402006519738	0.496057	1.34221	2.62934	0.687139	1
19.8776	3.062300313092106	126.68882521763473	-1.22642	-1.81	-2.73111	2.96945	1
31.933	1.6279264841509276	91.59085665414979	1.92324	2.47511	0.501736	-3.02048	1
32.1109	2.0790548719204116	96.87418205249071	1.75545	1.87978	0.96777	-0.966596	1
27.9019	4.330207908726785	274.42526154858297	-2.21427	1.11981	2.80823	1.57362	1
33.925	1.9392618036626719	87.76791884065555	0.335259	-0.67296	2.08289	-1.85828	1
37.1932	1.8980461416614718	81.46348427559433	1.01979	1.2005	-1.92555	-0.920682	1
49.0757	1.4438914818016486	108.20168804824964	-1.58041	-2.13293	2.16743	-1.36515	1
25.4409	1.701512010101957	79.81463216596002	0.460273	-0.464992	0.13627	2.70948	1
40.3243	2.841272951732501	137.76266020141017	0.0281459	-0.495366	0.489333	0.417808	1
30.2355	1.6288823827118397	86.76054081261834	1.52165	0.78432	2.85075	-0.260993	1
29.5182	2.4931599755107974	100.95278916677658	2.09488	1.8839	-2.47759	2.99668	1
18.6038	2.2047803424622736	103.67649967593042	2.00519	1.21942	0.162044	-1.4486	1
34.5991	1.9842168907344782	106.40225841198063	1.31292	1.88693	-2.45132	-0.349996	1
33.6909	2.885752008939091	175.80570033650184	-2.29357	-1.48382	-1.43188	-0.267994	1
33.3824	1.5184756886996906	109.6343241422138	0.771124	2.28116	2.4074	-0.808436	1
70.4848	2.4048958101407862	190.09855341455787	0.787544	1.00395	0.0425149	0.910956	1
61.344	3.5929423764915853	241.25885069342016	-0.606955	2.26155	2.39134	0.873532	1
15.4541	3.170547992660823	117.69026416151841	-1.76765	0.00214803	-0.664868	-2.51071	1
31.1757	1.8460902152216179	96.79513036949639	1.25123	0.596101	2.96461	-1.28808	1
18.847	2.29081820000213	90.32462803358003	-1.9711	-2.07371	-1.76675	-0.260099	1
