isophoton_Eta	isophoton_Phi	jet1_Eta	jet1_Phi	jet2_Eta	jet2_Phi
0.175724	1.24165	-0.188005	-2.33369	-0.34782	0.61935
0.323982	-0.736538	0.0775925	2.79939	-0.589402	-2.39155
-1.20004	0.679449	-0.877145	1.54459	-1.3177	2.00173
-0.775221	-0.135826	1.47569	1.3581	-0.478494	-1.6657
-0.919193	-0.0637418	-1.47958	2.54427	-0.733559	-1.66299
-1.17836	-1.58096	-1.24944	2.22311	-1.05002	-0.00543959
-0.55335	-2.20731	-0.575602	1.59578	-1.2296	0.764807
-1.69652	-2.90514	-1.48823	-1.08486	-1.84602	0.078833
1.49543	-1.33661	0.320011	1.25846	0.454718	-3.11849
-1.21086	-0.890617	-0.417003	2.60381	-0.196325	1.14859
-1.40757	0.383091	-2.45128	-3.07727	-2.03871	-1.41353
0.340737	-2.56565	1.26465	0.474963	1.4425	1.9713
0.838601	1.81927	0.927045	-1.29586	-0.176136	-2.29188
-0.140174	2.84025	-1.29525	-0.861721	-1.39482	2.09927
1.04079	-2.78831	1.0908	0.288909	-1.11577	-2.45964
-0.702816	0.10454	-1.62167	2.94109	-0.555268	-2.45861
0.282304	1.56233	-0.883109	2.78295	-0.716355	-1.23176
2.19751	-1.3269	0.735	1.4053	0.961021	-1.77282
0.887096	0.432069	-0.00745996	2.43607	0.25438	-1.77901
1.08333	2.95392	2.29339	2.5599	0.827803	-2.68522
-0.731276	-0.626867	-0.237954	3.13424	-1.81951	2.88691
1.3015	-1.33008	1.83815	-2.82431	1.04725	0.736146
1.50574	1.2468	1.68679	-1.49991	2.0559	2.8907
0.534268	-2.35743	-0.702703	1.8551	-0.844178	-1.17958
-1.48895	-0.291131	0.656627	-2.83486	-1.08707	2.96643
0.144882	-2.45814	-1.11128	-0.0904021	0.529025	2.11468
0.949283	-0.958598	1.15925	2.88081	0.330658	1.17073
-1.43539	-2.72532	0.230562	1.39739	-0.727726	-0.190767
1.77387	-1.93351	0.951893	1.2629	0.874902	3.1314
1.41893	0.615348	1.81716	2.76708	0.522362	-2.18206
1.02197	-0.436945	2.4569	3.07015	1.1445	0.869617
0.212874	-1.19869	-0.0145072	2.51108	-1.35958	1.64448
0.559378	0.945276	0.0823427	-1.17686	1.83371	-2.7057
-1.05683	-1.85512	-1.99298	1.1508	-0.481808	1.92468
-0.268826	-2.13797	-0.293698	1.05909	-1.335	2.72333
0.330426	-1.82777	-0.806794	-0.277952	-1.62596	2.25042
2.05738	0.795662	2.17188	-1.67251	1.76394	3.01737
-2.41037	-0.149112	1.01398	2.40337	-1.962	-2.28391
-0.563369	3.11927	-0.8515	-0.327247	-1.4331	1.25362
2.10409	1.40908	0.538509	-0.372123	0.989294	-0.592724
1.78676	-0.801005	1.43219	0.20065	0.964875	2.83668
-0.533447	1.7347	0.673285	-1.78773	0.287957	0.136509
0.506764	-1.28811	1.22657	0.374876	0.0749273	0.295546
0.17791	-1.74292	0.735707	-2.81689	0.794751	1.19906
1.91649	-0.581788	1.49578	-2.65637	0.503537	1.46842
1.28157	0.337378	-2.13411	-0.783613	1.6289	2.75884
1.10807	-2.53689	0.246044	-0.176258	1.0832	1.52893
0.283998	-1.21284	-1.33957	0.0193315	-0.815969	1.71637
-0.226507	1.39933	-0.4128	-2.69169	-0.319664	-0.450784
1.4718	1.73655	1.52614	-0.865122	0.701478	-2.46288
1.27207	0.601025	0.98624	-1.52034	1.19755	2.93705
0.248773	-0.221706	0.468126	2.5156	-0.393238	-2.22492
0.596839	-2.99221	0.846193	-0.544644	-0.344328	0.508792
-1.06865	2.4117	1.14185	-1.95302	-0.89064	0.623547
-2.19411	2.10807	-1.35326	-0.43284	-1.88223	-1.62562
-0.738694	0.385235	1.21531	2.66916	1.1475	-1.43115
-1.16545	2.36199	-1.12375	-1.08948	-0.233639	0.267402
0.949586	-2.17668	0.170309	0.0203407	-0.3644	1.67512
-0.382432	0.90196	-1.46995	-0.578034	-1.55215	2.80646
-1.57688	-1.91312	0.0931548	-0.379615	1.88555	2.23126
1.78133	0.464167	1.44959	2.98811	1.50019	-0.975545
-0.157127	1.29741	-0.229176	-2.54542	0.311715	-0.469335
0.776883	-1.34478	0.318192	-0.187927	-1.32988	2.64954
0.213807	-2.20472	-0.0856219	1.59435	-0.503076	-0.275113
-0.786196	-1.82137	-1.55344	0.790478	-1.94085	2.75909
0.622577	-0.950214	0.312755	2.03425	2.06022	-2.76097
0.514922	2.31762	0.113328	0.210798	0.738985	-2.28691
2.32838	1.00755	2.19316	2.84124	1.08546	-2.97198
0.194096	-2.84644	-1.11065	-0.870085	-0.909208	2.06253
1.43779	2.65223	0.531988	1.42967	1.46011	-2.58459
0.387001	1.25706	0.261826	-1.70774	0.210091	-0.0705807
-0.788611	2.65349	-0.155296	-1.20913	-0.216881	0.652238
-0.670785	-1.3618	-1.17873	1.73573	-1.14588	-3.06034
-0.303918	0.846558	0.458415	2.98269	0.184962	-1.49526
1.5406	1.52275	0.862229	-0.98863	1.34481	-2.50245
-0.462542	1.92194	-1.72314	-1.12558	-0.894889	-2.5767
1.96365	-2.67326	1.45151	-0.368324	0.935616	1.80007
0.325317	-1.17867	-1.23693	2.54329	-1.122	1.05667
0.67312	0.774595	1.1286	3.0198	1.62108	-1.08374
-2.24097	-1.38408	-1.82692	1.01113	-1.58481	2.88928
-1.14196	-1.20732	-1.99089	1.71919	-2.02811	2.27614
-1.23038	-1.77526	-0.287039	0.464267	-0.385007	2.25827
0.898668	-1.62703	0.631559	1.56909	0.398832	1.12513
0.0378171	0.479458	-0.164048	-2.76542	0.135463	3.06476
0.552553	-2.19107	1.30285	-0.159924	2.01275	1.35726
-1.68506	2.35015	-1.66613	-1.73282	-2.05178	0.221538
1.66488	-1.32038	0.605565	1.01055	0.647084	2.76108
-0.71881	-1.7519	-1.19818	2.43995	1.32953	-0.899734
1.25523	2.83153	-0.0884068	0.418847	0.800473	-1.3967
1.33804	-2.06178	0.909979	-0.196164	0.518676	2.71942
1.15533	-3.07987	1.03692	1.03213	0.712685	-0.839171
0.797849	0.84252	2.34255	2.53221	1.91254	-1.84522
2.27244	-3.05473	1.87483	1.29474	1.07085	-1.60202
-2.05056	-0.635146	-0.796359	2.63119	-1.44038	-0.692477
-0.802321	3.13694	-0.281819	-0.415921	-0.962736	1.13206
0.264587	2.25202	-0.598965	-1.38029	-2.05462	-0.295729
0.752599	0.416075	1.38859	-2.09513	0.213868	2.06355
-1.47326	1.79181	0.26525	-0.416714	0.255786	-2.72465
0.613846	-1.51945	1.99124	0.928445	2.23208	-2.54853
-1.52134	-0.626783	-0.444832	3.12895	0.609941	0.540969
-0.216145	0.10981	-0.59176	-2.44167	-0.41607	2.25077
-0.185861	1.88065	0.258042	-0.561704	0.018509	-2.29048
-1.20786	0.346637	-1.25397	-0.799921	-1.20069	3.13516
0.400594	2.59393	1.8164	0.46696	1.62133	-1.28528
-0.367263	-3.10295	1.01298	-0.35524	-0.548086	0.570678
-1.07614	2.44992	-0.217255	-0.933083	-0.427636	0.818853
-1.89875	-0.248175	-1.11012	-2.65925	-1.89827	1.5447
-0.566863	2.7319	0.102709	-1.21735	0.190962	0.445208
0.79038	-3.00895	0.695134	-0.533326	-0.195519	1.40496
-0.208413	1.77693	2.17247	-0.424245	1.23479	2.93457
1.05479	0.167344	1.19121	2.90207	0.655073	1.40047
1.01327	-1.71081	-1.55127	1.33625	0.61591	0.174383
0.485541	-1.29	-1.11262	2.26417	1.81921	0.346874
-0.354862	0.369246	-0.854733	-1.93525	-1.10934	2.67015
1.05206	3.07879	1.31069	0.657	2.09438	-0.6157
-2.3355	-1.70779	-1.54411	2.81107	-2.44016	0.668198
1.19272	-0.414047	1.62029	2.24851	1.73215	1.08138
-0.308177	0.089725	-1.14137	-1.7743	-0.945685	2.78582
-0.859512	-1.73061	0.103867	2.04866	-0.835627	-1.12186
-1.28153	0.457307	1.42481	-1.17551	0.169643	-2.94778
1.33172	1.62175	1.83709	-2.22481	2.18298	-0.801818
0.15209	-1.20992	1.45373	1.89041	1.10411	0.332496
1.94108	-1.72342	-0.578453	3.11488	0.689867	0.465628
-2.45359	1.11616	-2.08198	-1.82581	-1.92819	-1.10306
-2.30374	-0.580313	-1.80253	2.71292	-1.79863	0.406788
-0.388115	-2.08304	-1.04796	0.975505	-0.415686	-0.0463576
-1.22695	-1.06798	0.895695	2.77624	0.603572	3.07464
-1.56104	2.38016	-1.0275	-1.48664	-1.408	0.58528
2.10269	-0.698205	2.0619	0.95622	0.501941	3.14007
1.45696	0.56413	2.202	-1.55236	1.6983	2.57221
-1.45488	-2.68171	-1.70553	0.408457	-2.16588	1.45622
-1.88823	1.25288	-1.50569	-1.06526	-1.87188	-2.84058
1.29365	-2.25602	1.56584	-0.0313003	1.38766	1.78046
1.40904	2.4271	0.641641	-0.697699	0.69385	1.79365
1.9962	2.66226	1.52147	-0.11923	-0.0881066	-1.12813
1.24017	-1.46843	1.17208	2.69869	1.25282	0.92489
1.84317	1.48039	1.93278	-0.9221	0.83497	-1.95065
-0.112374	0.687274	0.362578	-1.78097	0.452496	1.82343
0.354556	1.4335	0.286426	0.256394	1.36508	-3.04313
-1.51096	0.0136388	-2.45441	2.05257	-2.17333	-2.46253
0.59834	-1.33948	1.70858	2.89938	2.38072	1.145
