isophoton_Eta	isophoton_Phi	jet1_Eta	jet1_Phi	jet2_Eta	jet2_Phi	R
0.891612	-0.929864	0.489777	1.77848	1.15527	-2.92981	1.709729850480854
0.537531	-0.346704	-1.23796	-2.40979	-0.846393	1.76031	2.14905891750488
-0.954237	1.04574	-0.513906	-1.05856	-0.937908	2.94711	2.3166470750723605
-1.20635	-0.147148	0.317845	1.89458	-0.259949	-2.38529	2.0849743706856545
-1.39076	0.319141	-0.756448	0.136582	0.457968	-2.25735	2.6843465949239866
-1.55998	1.11479	-1.99383	-1.42976	-0.966621	-2.49196	1.4776424363427711
-1.02645	1.81395	-0.686554	-0.463529	-2.07617	-2.613	2.5595425777464613
-1.63911	-0.276949	-1.72507	3.12126	-1.02831	0.749126	2.472345892377521
-2.11247	1.37135	-1.56585	-0.726855	-0.893188	-2.27365	1.6867272862762965
-1.30227	-1.25748	-0.495497	0.309519	-0.189878	2.42295	2.1354141436550433
-1.57569	1.341	-1.49282	-0.960313	-1.62982	-2.7954	1.8401938206528679
-0.611346	-2.56439	-2.00425	-0.248833	-1.40301	1.40499	1.7597215839242866
1.31648	1.22139	1.56796	-0.62651	1.11926	-2.57592	2.0003827229057944
0.577857	0.0794726	0.36773	2.8906	0.968256	-2.50442	1.0721329626279605
1.21058	1.16662	0.561517	-1.50418	-1.27181	1.96808	3.35594829690084
-2.01941	0.819483	-1.84781	-2.14546	-1.78232	-1.0484	1.0990130043361632
0.492387	-2.35104	2.48954	1.2733	2.45399	-1.37308	2.64661876871226
-1.03523	-1.1715	-2.20798	2.98658	-1.91677	1.43461	1.5790548264705695
0.688326	0.0298552	-0.706628	-1.49586	-0.678589	2.51973	2.2677686528091625
-1.49243	-2.69073	0.0258255	-1.90105	-0.78321	0.838481	2.856495849851921
-1.18018	1.77925	-1.32989	-2.36183	-1.9371	-1.10675	1.3942488266087945
-0.647745	1.6418	-1.99081	-0.444255	-2.18906	-2.61202	2.176811465819904
2.13501	0.533369	1.50806	2.12492	0.578039	-1.62984	2.694044096600348
-1.03496	-2.395	-0.0747546	0.858822	0.118398	-1.9747	2.8400976834205474
0.483483	1.81194	2.34446	-0.098372	1.5764	-2.77961	2.7890775134879275
0.117802	-2.34691	-0.489881	-0.264068	-1.30863	1.03676	1.5370437243569226
0.8267	2.83736	0.511104	-1.50156	0.099753	0.432025	1.9768562409608847
-0.0131318	-1.03263	1.94653	2.10602	1.3571	-0.974334	3.13624114031686
1.46181	-3.05068	0.428819	-0.716361	1.06892	1.77412	2.5714246832372907
-1.69933	0.0814711	-1.14526	2.55368	-1.29647	-2.30802	1.429505139069966
0.00552224	-0.226523	0.352638	-1.82041	-0.987349	2.31163	2.5343621076653107
-0.56862	1.86561	-1.01676	-1.1118	0.0201313	-3.05136	2.1993263881506286
-0.910551	-2.94109	-2.09368	1.18294	-2.10039	-0.691191	1.874143011955331
0.745164	0.540553	0.483301	3.06462	0.0452747	-2.49137	0.8489287686700832
-0.626691	2.90776	-1.63917	-0.291447	-1.07074	-1.71736	1.5350376374763584
-2.43552	-0.737742	1.41276	2.9738	-1.09666	0.506809	3.51898185992497
-0.633231	-0.0105601	0.0244611	2.38131	-0.379098	1.09155	1.3514217716141803
0.664378	2.94916	0.551377	-0.55593	0.608755	1.10161	1.6585328113980742
-0.136376	2.91946	-1.44087	0.100995	-0.456687	2.08717	2.2166432523331308
0.680787	-2.64457	0.0345027	2.28153	0.123429	-0.362841	2.6458658077220565
0.917302	-2.46971	-0.53541	0.725751	-0.0507059	2.92409	2.251140249624134
-1.73741	0.894335	-0.587372	-2.85271	-1.04387	0.23008	3.116405719431281
-1.3665	-1.89687	0.159644	-0.369849	0.48487	1.80062	2.194699895438326
0.026968	1.2609	-0.398563	-2.63878	-0.754137	-1.14106	1.539349884813716
1.85816	-2.99136	2.3951	0.593251	2.08034	-0.947124	1.5722051387223615
-2.16671	0.0839212	-1.48622	-1.85332	-1.38476	2.32293	2.109376808500544
-0.597624	-2.08244	1.37799	-1.20514	0.500824	1.55997	2.900905635082948
-1.6014	1.40595	0.167975	-0.765727	0.088128	-3.10262	2.3382567089303943
-1.65574	2.55315	-1.12416	0.0504096	-2.17219	-1.38119	1.7742165300831125
-1.52125	-0.15697	-0.242057	2.5291	-0.575235	0.271832	2.281724436365619
-0.161919	1.30728	-0.652238	-2.04033	0.0226902	1.93016	2.4091674202939326
