axion_Eta	axion_Phi	axion_pT	axion_Px	axion_Py	axion_Pz	axion_E	b1_Eta	b1_Phi	b1_pT	b1_Px	b1_Py	b1_Pz	b1_E	b2_Eta	b2_Phi	b2_pT	b2_Px	b2_Py	b2_Pz	b2_E	genphoton_Eta	genphoton_Phi	genphoton_pT	genphoton_Px	genphoton_Py	genphoton_Pz	genphoton_E	jet1_Eta	jet1_Phi	jet1_pT	jet1_Px	jet1_Py	jet1_Pz	jet1_E	jet2_Eta	jet2_Phi	jet2_pT	jet2_Px	jet2_Py	jet2_Pz	jet2_E	isophoton_Eta	isophoton_Phi	isophoton_pT	isophoton_Px	isophoton_Py	isophoton_Pz	isophoton_E	deltaEta_b1_jet1	deltaPhi_b1_jet1	deltaEta_b1_jet2	deltaPhi_b1_jet2	deltaEta_b2_jet1	deltaPhi_b2_jet1	deltaEta_b2_jet2	deltaPhi_b2_jet2	deltaEta_jet1_jet2	deltaPhi_jet1_jet2	deltaR_b1_jet1	deltaR_b1_jet2	deltaR_b2_jet1	deltaR_b2_jet2	deltaR_jet1_jet2	deltaEta_b1_b2	deltaPhi_b1_b2	deltaR_b1_b2	invmass
1.39412	2.8404	48.415	-46.2355	14.3629	91.5858	112.955	1.70682	-2.87902	27.3102	-26.3742	-7.08876	72.7815	77.8786	0.605539	2.31772	29.2343	-19.8614	21.4516	18.8044	35.0762	1.06359	1.00613	38.1364	20.408	32.2164	48.6535	61.8187	0.596106	2.32654	31.3157	-21.4772	22.7904	19.7928	37.0463	1.69134	-2.92071	25.7445	-25.119	-5.64041	67.4826	72.2266	1.06673	1.00392	37.3026	20.0315	31.4679	47.7796	60.6166	1.110714	1.077625307179586	0.015479999999999938	0.041690000000000005	0.009433000000000025	0.00882000000000005	-1.085801	1.044755307179586	-1.095234	1.035935307179586	1.5475664420211164	0.0444711873014427	0.0129140965227925	1.506810360822128	1.5075475035358796	1.101281	1.086445307179586	1.5469916762715774	86.90918634475817
-3.93681	0.274033	34.6679	33.3743	9.38168	-888.11	889.925	-3.58222	1.2046	27.0828	9.69747	25.2871	-486.48	487.256	-3.33922	-0.591528	28.5233	23.6769	-15.9054	-401.63	402.669	-2.34007	-2.91268	24.6462	-24.0033	-5.59261	-126.751	129.125	-3.61464	1.19041	28.0199	10.4032	26.0171	-519.924	520.678	-3.36667	-0.547743	26.2384	22.3998	-13.664	-379.766	380.672	-2.33921	-2.89833	24.4234	-23.7043	-5.88283	-125.495	127.85	0.032420000000000115	0.014189999999999925	-0.2155499999999999	1.7523429999999998	0.27542	1.781938	0.027449999999999974	0.043785000000000074	-0.24797000000000002	1.738153	0.03538944051549848	1.7655502802664667	1.8030971166978222	0.051678126175394606	1.7557519677645246	-0.24299999999999988	1.796128	1.8124913220161911	90.13159845158297
3.00128	2.63581	14.8214	-12.9657	7.1808	148.67	156.035	1.64858	1.31308	21.9406	5.59204	21.216	54.931	59.3371	2.10167	-2.49407	23.2675	-18.5577	-14.0352	93.7391	96.6979	0.628069	-0.937846	30.0721	17.7884	-24.2467	20.1539	36.201	1.61321	1.30841	29.1322	7.55643	28.1352	70.2034	76.0079	2.06779	-2.59188	23.516	-20.0515	-12.2857	91.4876	94.4616	0.626516	-0.942148	29.1711	17.1541	-23.5942	19.4955	35.086	0.0353699999999999	0.004669999999999952	-0.4192100000000001	2.3782253071795862	0.4884599999999999	2.480705307179586	0.03387999999999991	0.0978100000000004	-0.45458	2.382895307179586	0.035676964556979794	2.4148897771553544	2.528337792437744	0.10351159596876126	2.425867478115508	-0.45309	2.476035307179586	2.517149457322689	96.6583098309147
0.396851	2.66093	40.9114	-36.2756	18.9161	16.6653	63.0617	0.291581	1.65103	25.2469	-2.02348	25.1657	7.46626	26.744	0.261224	-2.96112	34.8176	-34.2521	-6.24955	9.199	36.3177	0.214169	-0.455603	33.0867	29.7117	-14.5583	7.14044	33.8484	0.293168	1.67566	24.3937	-2.55343	24.2597	7.25434	25.4496	0.200822	-2.9029	24.0169	-23.336	-5.67847	4.85561	24.5028	0.217878	-0.469818	32.0689	28.5943	-14.5184	7.04254	32.8331	-0.001587000000000005	0.02462999999999993	0.09075899999999998	1.7292553071795869	-0.03194399999999997	1.6464053071795863	0.06040200000000001	0.05822000000000038	0.09234599999999998	1.7046253071795867	0.02468107511839783	1.7316353869939731	1.64671517107395	0.08389260994867215	1.707124840658439	0.030356999999999967	1.6710353071795865	1.6713110258984636	80.39153082087752
0.786762	2.90046	107.241	-104.138	25.6093	93.3511	149.139	1.12176	2.75488	52.3066	-48.444	19.7272	71.7793	88.9401	0.376242	3.03637	56.0042	-55.6944	5.88213	21.5718	60.1989	-0.62442	1.55372	16.922	0.288969	16.9195	-11.2666	20.3295	0.39157	3.04577	49.9172	-49.6882	4.77566	20.0494	53.7932	1.1136	2.70837	35.4983	-32.2189	14.9021	48.2231	59.8798	-0.622566	1.56725	16.8868	0.0599482	16.8867	-11.2056	20.2665	0.7301900000000001	0.2908900000000001	0.008160000000000167	0.04651000000000005	-0.015327999999999953	0.009400000000000297	-0.737358	0.32799999999999985	-0.72203	0.33740000000000014	0.7859990001265906	0.04722039495811114	0.01798075593516591	0.8070197148545999	0.7969730741373888	0.7455180000000001	0.2814899999999998	0.7968900227911001	81.53062364397907
-1.80747	-1.64624	33.0857	-2.49373	-32.9916	-98.1142	112.898	-1.32142	-0.27305	19.8811	19.1445	-5.36131	-34.6129	40.1921	-1.35501	-2.23517	35.0948	-21.6383	-27.6303	-63.5013	72.7059	-0.153842	2.37256	42.1763	-30.3072	29.3311	-6.51412	42.6764	-1.55469	-0.205947	51.8827	50.7863	-10.6097	-117.317	128.277	-1.34026	-2.23203	33.2358	-20.4097	-26.2309	-59.1304	67.8308	-0.142975	2.36451	43.2718	-30.8511	30.3423	-6.20787	43.7148	0.23326999999999987	0.06710300000000002	0.018839999999999968	1.95898	0.19967999999999986	2.029223	-0.01475000000000004	0.0031400000000001427	-0.2144299999999999	2.026083	0.24272969638880187	1.9590705923983442	2.0390238071511084	0.015080520548044821	2.0373984754556482	0.03359000000000001	1.96212	1.9624074965460157	155.27227298795847
-3.00563	1.39134	27.1858	4.85263	26.7492	-273.89	278.89	-2.8884	2.45733	21.1299	-16.3733	13.3562	-189.206	190.44	-1.93055	0.562882	25.0981	21.226	13.393	-84.6837	88.4496	-1.43743	-1.41039	30.0673	4.80244	-29.6813	-59.7182	66.8604	-2.88515	2.47915	25.9512	-20.4623	15.9611	-231.619	233.068	-1.91208	0.425925	23.6446	21.5321	9.76908	-78.2563	81.7504	-1.42998	-1.40069	29.7433	5.0353	-29.314	-58.584	65.702	-0.003249999999999975	0.021820000000000395	-0.9763199999999999	2.031405	0.9545999999999999	1.916268	-0.018469999999999986	0.136957	-0.9730699999999999	2.0532250000000003	0.022060709417423933	2.253842722202461	2.1408746361765325	0.13819681888162258	2.272135146844263	-0.9578499999999999	1.8944479999999997	2.1228306214118917	94.78081582191416
-1.22519	-2.16734	31.771	-17.8485	-26.2836	-49.4216	74.0053	-0.203227	2.81121	16.9266	-16.0112	5.49104	-3.46368	17.9052	-1.16327	-1.62856	31.8277	-1.83733	-31.7746	-45.9579	56.1001	-1.17959	0.870678	33.774	21.7609	25.8292	-49.743	60.1253	-0.199115	2.55447	43.6057	-36.3035	24.156	-8.74002	44.4729	-1.20274	-1.66728	24.5913	-2.36896	-24.4769	-37.2418	44.6283	-1.1823	0.865754	33.5754	21.759	25.5705	-49.6124	59.9057	-0.0041120000000000045	0.2567400000000002	0.9995129999999999	1.8046953071795864	-0.9641550000000001	2.1001553071795867	0.039469999999999894	0.03872000000000009	1.003625	2.061435307179586	0.2567729272022269	2.062995731678818	2.310897483295091	0.0552912226307214	2.2927665965622395	0.960043	1.843415307179586	2.078427905074652	110.18708599863236
1.51072	1.2639	34.2555	10.3486	32.6549	73.8074	92.9858	1.24931	1.53674	41.0141	1.39662	40.9904	65.6479	77.5493	0.625483	-0.749747	12.2319	8.95202	-8.33544	8.15954	15.4365	2.08008	3.01022	35.7975	-35.489	4.68918	141.046	145.518	0.914927	-0.773557	70.2016	50.2243	-49.0488	73.5729	101.692	1.23485	1.56854	29.5932	0.0667162	29.5932	46.5645	55.1726	2.07364	3.00683	36.1523	-35.8245	4.8574	141.5	146.045	0.3343829999999999	2.3102970000000003	0.014459999999999917	0.03180000000000005	-0.28944400000000003	0.023809999999999998	-0.609367	2.318287	-0.31992299999999996	2.342097	2.3343701974832527	0.03493324491082958	0.2904216679863953	2.3970362440017468	2.3638462478211224	0.6238269999999999	2.286487	2.3700596885095533	151.25379056141074
-1.1941	0.0471155	39.5368	39.4929	1.86211	-59.2581	84.2592	-1.24708	-0.760576	27.0194	19.5739	-18.6255	-43.1339	51.1143	-0.537956	0.799469	28.5746	19.919	20.4876	-16.1241	33.1449	-0.715297	-3.08807	32.2768	-32.2306	-1.72672	-25.1073	40.8921	-0.599077	0.620846	27.0095	21.9692	15.7121	-17.1662	32.003	-1.28387	-0.804768	23.9302	16.5903	-17.2458	-39.8872	46.515	-0.715362	-3.08511	31.2307	-31.1809	-1.76315	-24.2961	39.5684	-0.648003	1.3814220000000001	0.0367900000000001	0.04419200000000001	0.06112099999999998	0.17862299999999998	0.7459140000000001	1.604237	0.6847930000000001	1.425614	1.5258553765324552	0.05750162575092993	0.1887907645251748	1.7691704405073583	1.5815551618090973	-0.709124	1.5600450000000001	1.7136502704463943	85.21351862719611
